Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,Promoter holding,Change in promoter holding,Price to book value,Return on equity,EPS,Debt,Pledged percentage,Industry PE,Interest Coverage Ratio,Piotroski score,Free cash flow last year,Average return on capital employe,Return on assets 5years,PEG Ratio,EPS last year,EPS preceding year,Sales growth 3Years,Dividend yield,Profit after tax,Sales,Historical PE 5Years
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,27.6,5.92,97.39,18.75,44.83,0,0.52,13.64,4.64,119.17,53.74,16.97,1.68,6,26.69,19.6,6.88,0.1,6.83,7.08,10.5,2.17,16.45,455.69,7.8
Aarvi Encon,,AARVI,Miscellaneous,41.15,5.89,60.84,10.7,73.39,0,0.8,9.77,7.39,9.6,0,19.56,8.18,4,3.39,14.21,10.18,2.67,4.86,5.84,12.49,2.43,10.33,219.33,7.02
Acknit Indus.,530043,,Textiles - Products,68.6,5.06,20.85,10.55,50.35,0,0.43,9.34,13.54,47.28,26.14,17.97,2.24,6,15.82,10.78,3.89,0.65,14.37,15.4,2.2,2.19,4.12,159.65,5.88
Aditya Vision,540205,,Electronics - Consumer,24.7,2.12,29.71,50.88,56.81,0.69,0.76,42.8,9.94,33.62,52.81,2.12,2.38,7,-2.71,29.36,9.25,0.03,9.94,4.09,30.13,10.12,14.02,796.98,12.86
Agarwal Indl.,531921,AGARIND,Petrochemicals,85.95,3.83,88.17,17.5,59.33,0,0.56,17.56,22.44,90.27,0,11.72,4.06,6,49.89,14.56,6.85,0.11,24.91,13.11,38.37,1.75,23.01,672.44,12.12
Ahlada Engineers,,AHLADA,Steel - Medium / Small,43,8.67,55.56,9.05,50.36,0,0.49,5.75,5,35.11,0,10.63,2.72,7,21.36,15.96,205.54,,5,8.8,-2.32,2.79,6.41,110.33,9.13
Alembic,506235,ALEMBICLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,105.05,7.08,2697.49,7,69.57,1.95,1.9,24.95,14.84,0,0,27.75,302.84,6,-15.56,5.07,22.09,0.28,12.82,8.3,-20.5,0.57,380.86,61.28,5.06
Allied Digital,532875,ADSL,Computers - Software - Medium / Small,24,7.38,120.49,6.18,49.3,0.1,0.26,4.34,3.24,53.59,4.04,20.33,4.46,8,19.49,5.36,1.7,0.05,3.83,2.46,15.31,2.08,16.32,338.16,5.45
Ambika Cotton,531978,AMBIKCO,Textiles - Cotton/Blended,707.6,9.32,405.1,13.88,50.17,0,0.8,10.66,75.93,69.43,0,22.42,7.52,5,35.7,17.37,12.54,18.27,91.28,110.36,5.66,2.12,43.47,570.94,10.16
AMJ Land Holdin.,500343,AMJLAND,Construction,19.55,8.04,80.16,6.73,61.75,0,0.79,6.94,2.43,10.56,0,26.6,1111,3,-0.63,5.79,4.78,-0.42,2.39,1.07,-12.31,1.02,9.97,14.46,11.22
