Name,Ticker,"Sub-Sector","Market Cap","Percentage Upside","Percentage Buy Reco’s","Price to Intrinsic Value Rank","Price Momentum Rank","Earnings Quality Rank","Value Momentum Rank","Fundamental Score","Basis","Rollover Cost","Fair Value","Highest Put OI Strike","Future Open Interest","Percentage Rollover","Call Open Interest","Fair Value Spread","1D Change in Put OI","1W Change in Future Volume","Highest 1W OI Change PE Strike","Put Call Ratio","1 D Change in Call OI","Put Open Interest","Highest 1D OI Change PE Strike","Future Volume","Calendar Spread","1W Change in Put OI","Highest 1D OI Change CE Strike","Highest 1W OI Change CE Strike","Highest Call OI Strike","1D Change in Future OI","% Price above 1M SMA","Beta","% Price above 1M EMA","1W Change in On Balance Volume","Relative Volume","Super Trend","Alpha","ADX Rating – Trend Strength","Volatility","Stochastic %K","William %R","RSI – 14D","Stochastic %D"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1433587.93824379","0.5948334466349422","62.5","44","77","55","39","5.593750000000001","7","0.2634231262598497","2178.8192021630452","2100","29229400","4.385165044680604","25655010","3.9807978369549346","1.386704197367328","0.7045529762186185","2300","0.4821266879256722","0.07708942882584924","12368965","2180","18206765","5.75","4.088224044876965","2220","2100","2300","0.6416163864304325","-2.5345147331547","1.20936043938339","-2.2430197054911116","2.301912044895791","0.5701127560471252","2143.2107142857144","25.9467177360676","26.6500843343299","49.384540508414595","2.2026431718061703","-97.79735682819383","45.888888888889","37.43833424078928"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1036896.4658089799","4.387725315624316","50","33","92","94","79","6.761956521739131","-1.5","0.49967412557027036","2767.134433926438","2020","7247400","5.637728556563104","7550400","-5.334433926437669","-1.280372471991853","-0.4226983207874928","2500","0.8087650985378259","-0.01255492780916512","6106500","2760","3290100","13.799999999999727","-12.065837221358219","2780","3300","3000","-4.377770740975295","5.5594127438743","0.769521109679445","4.609249944594285","-4.82493371943795","1.6605462536659443","2600.2321428571427","24.176866369442","45.5961209457671","38.0435627743412","76.55105973025051","-23.44894026974948","81.2671923711718","78.8254728732107"
HDFC Bank Ltd,HDFCBANK,"Private Banks","660086.7579498601","12.898024374599105","93.3333333333333","48","31","30","39","8.128571428571428","5.649999999999864","-0.32780082987552245","1201.0142522815738","1100","36323100","3.8242310824131085","11531850","3.9857477184261825","19.83371731944306","-0.2566184256971409","1160","0.5705632660847999","0.1882012920775247","6579650","1160","13899600","-3.9500000000000455","-1.6928260333634588","1240","1400","1200","-1.7568391770673708","7.0647467885485","1.05084566982387","4.847191527846584","-3.7951096998603737","0.9743142533976747","1121.4249999999997","2.94926908277039","45.0769468903147","43.913932371094","78.36550513913258","-21.634494860867427","75.0524109014675","76.76484456654818"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","505283.82041902497","13.735239599544713","77.5","18","82","84","36","7.666666666666667","-9.600000000000364","0.1681496531913573","2153.534164542576","2000","4941000","16.108215438073962","2216700","-12.584164542576218","4.7036237101032","0.012806496954552493","2100","0.5904723237244552","0.08295471200351745","1308900","2120","1945500","3.600000000000364","3.560408260147163","2300","2300","2200","-2.1390374331550777","2.3580353711255","0.182229150439324","1.1756280890678372","-3.2481081768609914","0.8768596438039645","2165.207142857143","16.5191761150163","25.5957304381978","35.9707796682708","81.15707821590196","-18.842921784098042","65.9883720930232","85.87982237658228"
Infosys Ltd,INFY,"IT Services & Consulting","478240.70882225","16.807060681254246","90.6976744186046","51","93","87","88","5.870652173913044","-9.149999999999864","0.13412616801535945","1117.055587825547","1000","36433200","4.833294062205466","33969600","1.2944121744531003","-1.180535560034557","0.7177450156596135","1200","0.3637134378974142","-0.09924587138447827","12355200","1110","26984400","1.4999999999997726","53.465494112386345","1120","1280","1200","-5.643782826242349","6.8436812978546","0.653681402014963","6.066044431237194","-2.137950151501271","1.2973648149597632","1044.7464285714286","28.3409266509991","48.9472364008897","42.581525761383","69.09480449919656","-30.905195500803444","76.1904761904762","72.51323434985358"
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","352283.24968044","7.762890304026287","92.1052631578947","27","35","16","42",,"4.2000000000000455","0.3942214761686759","1964.4221108940371","1900","24369000","1.328678110755504","3556500","1.4778891059629586","5.377844568484336","-0.6610747051114023","1750","0.8280894137494728","0.04772425983208128","2945100","1950","2715300","7.75","-9.202737698853126","2150","2050","2000","-0.14382829114779616","7.9016195968747","1.09450864560056","5.206074093078206","1.5591903620114074","1.2943042173588475","1782.2428571428572","-2.40309428700948","58.9005831597344","51.5218982794876","81.89294863152222","-18.10705136847779","86.0032550569635","83.1484080993222"
ICICI Bank Ltd,ICICIBANK,"Private Banks","273178.87968442996","20.888107416879784","100","67","18","73","37","4.697142857142857","0.19999999999998863","0.34065102195305724","396.64963966209314","350","115561875","1.8899458543677095","23243000","-0.349639662093125","2.600472813238763","-0.4039349280406823","210","0.590511121628017","0.01142822952192901","13725250","300","33200750","1.349999999999966","-6.377790283248919","370","440","410","-1.8613015098261299","5.9884405437226","1.4498640417051","3.7113385101420038","1.3546386747842465","0.7211659549891951","370.4428571428572","7.9897866535439","37.0191053198056","57.221683221971695","77.10049423393744","-22.89950576606257","71.3450292397661","82.33076566230848"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","265066.965883025","8.318750715894778","66.6666666666667","24","20","84","19","6.534285714285715","-2.449999999999818","0.059965519826096575","1338.404634916361","1300","10590400","5.449340919532106","3032400","-4.304634916360783","0.345721694036305","-0.5452809982772269","1360","0.6125840918084685","-0.06059479553903346","1857600","1180","3906400","0.7999999999999545","8.45399346099953","1400","1400","1400","-0.7869294761298051","2.8113407474216","0.906112886265816","1.3531205148844094","2.556526297110445","0.938292447745841","1356.0428571428572","2.61518666244372","32.9164123452562","47.9500083482497","74.23178226514476","-25.768217734855238","66.5215670755837","76.22139379032551"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","224460.80841564","8.638372093023252","83.7209302325582","57","94","69","92","6.006521739130434","-0.5","0.20564930744572013","824.2952161220549","800","15230600","3.3552920509442243","18600400","2.354783877945124","15.097115950559159","3.2651347768448957","900","0.2943700135480957","0.4635382242784754","5475400","680","40538400","1.7000000000000455","68.21505376344086","830","1010","900","-0.7662136276566645","-0.7460694111541","0.744152463929499","-0.11695611025803743","-24.953130021248242","1.3947345845916674","823.5714285714284","16.3500242223686","57.2851597744479","41.674933244331","19.294003868471894","-80.70599613152811","49.8592990534663","53.498792071436526"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","219034.98287803","68.85295591182367","96.4285714285714",,"54","66","34","6.025","1.599999999999966","0.3099814011159331","402.2073410004537","400","118810137","4.089680204334643","47515170","1.0426589995462905","0.42285050990795714","-0.04830481110752338","340","0.4718348266458902","0.01398325169853054","22419312","330","27278187","1.25","11.017415215398719","380","380","500","0.2984561535095853","-6.8778039252055","0.719516825932321","-7.623661556429473","-1.8824253150265782","0.7290587253024534","444.8964285714286","-3.55922946889616","47.8308656303057","44.9506260126994","12.392755004766434","-87.60724499523357","27.4614472123369","8.451924657309076"
